Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
4987302842,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Ashton Jeanty (41034042),Bijan Robinson (41034022),Puka Nacua (41034268),Tre Tucker (41034330),Michael Wilson (41034298),AJ Barner (41034726),RJ Harvey (41034050),Packers (41034957),,WR,Puka Nacua (41034268),Puka Nacua,41034268,WR/FLEX,8700,LAR@ARI 12/07/2025 04:25PM ET,LAR,21.2
4987302874,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),De'Von Achane (41034020),Ashton Jeanty (41034042),Pat Bryant (41034388),Adonai Mitchell (41034334),Michael Wilson (41034298),Brock Bowers (41034694),Puka Nacua (41034268),Jets (41034964),,RB,Bijan Robinson (41034022),Bijan Robinson,41034022,RB/FLEX,8500,SEA@ATL 12/07/2025 01:00PM ET,ATL,22.82
4987302875,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Josh Jacobs (41034030),Ashton Jeanty (41034042),Puka Nacua (41034268),Michael Wilson (41034298),Olamide Zaccheaus (41034594),Brock Bowers (41034694),RJ Harvey (41034050),Browns (41034951),,WR,Ja'Marr Chase (41034270),Ja'Marr Chase,41034270,WR/FLEX,8200,CIN@BUF 12/07/2025 01:00PM ET,CIN,20.7
4987302879,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),RJ Harvey (41034050),Ashton Jeanty (41034042),Jordan Addison (41034322),Deebo Samuel Sr. (41034304),Michael Wilson (41034298),Brock Bowers (41034694),Puka Nacua (41034268),Packers (41034957),,TE,Trey McBride (41034692),Trey McBride,41034692,TE/FLEX,8000,LAR@ARI 12/07/2025 04:25PM ET,ARI,19.16
4987302880,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Josh Jacobs (41034030),Ashton Jeanty (41034042),Luther Burden III (41034362),Troy Franklin (41034302),Michael Wilson (41034298),Brock Bowers (41034694),Puka Nacua (41034268),Vikings (41034958),,RB,James Cook III (41034024),James Cook III,41034024,RB/FLEX,7800,CIN@BUF 12/07/2025 01:00PM ET,BUF,20.53
4987302881,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),RJ Harvey (41034050),Ashton Jeanty (41034042),Jordan Addison (41034322),Terry McLaurin (41034316),Michael Wilson (41034298),Brock Bowers (41034694),Puka Nacua (41034268),Ravens (41034953),,WR,Davante Adams (41034272),Davante Adams,41034272,WR/FLEX,7700,LAR@ARI 12/07/2025 04:25PM ET,LAR,17.32
4987302883,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),RJ Harvey (41034050),Ashton Jeanty (41034042),Ja'Marr Chase (41034270),Puka Nacua (41034268),Michael Wilson (41034298),Dawson Knox (41034742),Tre Tucker (41034330),Browns (41034951),,QB,Josh Allen (41033940),Josh Allen,41033940,QB,7700,CIN@BUF 12/07/2025 01:00PM ET,BUF,24.43
4987302885,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Josh Jacobs (41034030),Ashton Jeanty (41034042),Luther Burden III (41034362),Puka Nacua (41034268),Michael Wilson (41034298),Brock Bowers (41034694),Courtland Sutton (41034300),Packers (41034957),,RB,Derrick Henry (41034026),Derrick Henry,41034026,RB/FLEX,7500,PIT@BAL 12/07/2025 01:00PM ET,BAL,15.94
4987302894,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Ashton Jeanty (41034042),Aaron Jones Sr. (41034060),Puka Nacua (41034268),Deebo Samuel Sr. (41034304),Michael Wilson (41034298),Brock Bowers (41034694),RJ Harvey (41034050),Commanders (41034960),,WR,Drake London (41034274),Drake London,41034274,WR/FLEX,7300,SEA@ATL 12/07/2025 01:00PM ET,ATL,21.44
4987302895,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Ashton Jeanty (41034042),Aaron Jones Sr. (41034060),Terry McLaurin (41034316),Puka Nacua (41034268),Michael Wilson (41034298),Brock Bowers (41034694),RJ Harvey (41034050),Packers (41034957),,RB,Bucky Irving (41034028),Bucky Irving,41034028,RB/FLEX,7000,NO@TB 12/07/2025 01:00PM ET,TB,18.42
4987302897,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Ashton Jeanty (41034042),Kyren Williams (41034034),Jaxon Smith-Njigba (41034266),Tre Tucker (41034330),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),RJ Harvey (41034050),Browns (41034951),,WR,Justin Jefferson (41034276),Justin Jefferson,41034276,WR/FLEX,6900,WAS@MIN 12/07/2025 01:00PM ET,MIN,13.36
4987302898,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Ashton Jeanty (41034042),Kenneth Walker III (41034052),Darnell Mooney (41034326),Puka Nacua (41034268),Michael Wilson (41034298),Brock Bowers (41034694),RJ Harvey (41034050),Packers (41034957),,QB,Matthew Stafford (41033941),Matthew Stafford,41033941,QB,6900,LAR@ARI 12/07/2025 04:25PM ET,LAR,20.74
4987302902,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),De'Von Achane (41034020),Ashton Jeanty (41034042),Adonai Mitchell (41034334),Puka Nacua (41034268),Michael Wilson (41034298),Evan Engram (41034720),Tre Tucker (41034330),Browns (41034951),,RB,Josh Jacobs (41034030),Josh Jacobs,41034030,RB/FLEX,6800,CHI@GB 12/07/2025 04:25PM ET,GB,17.42
4987302903,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),RJ Harvey (41034050),Ashton Jeanty (41034042),Puka Nacua (41034268),Malik Washington (41034352),Michael Wilson (41034298),Brock Bowers (41034694),Breece Hall (41034036),Titans (41034959),,WR,Jaylen Waddle (41034278),Jaylen Waddle,41034278,WR/FLEX,6800,MIA@NYJ 12/07/2025 01:00PM ET,MIA,13.46
4987302766,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),Bijan Robinson (41034022),Kenneth Walker III (41034052),Jordan Addison (41034322),Terry McLaurin (41034316),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Steelers (41034962),,QB,Lamar Jackson (41033942),Lamar Jackson,41033942,QB,6700,PIT@BAL 12/07/2025 01:00PM ET,BAL,17.89
4987302769,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),RJ Harvey (41034050),Ashton Jeanty (41034042),Justin Jefferson (41034276),Deebo Samuel Sr. (41034304),Michael Wilson (41034298),Colby Parkinson (41034730),Puka Nacua (41034268),Browns (41034951),,RB,Chase Brown (41034032),Chase Brown,41034032,RB/FLEX,6700,CIN@BUF 12/07/2025 01:00PM ET,CIN,14.42
4987302777,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),RJ Harvey (41034050),Ashton Jeanty (41034042),Jordan Addison (41034322),Terry McLaurin (41034316),Michael Wilson (41034298),Brock Bowers (41034694),Puka Nacua (41034268),Packers (41034957),,RB,Kyren Williams (41034034),Kyren Williams,41034034,RB/FLEX,6600,LAR@ARI 12/07/2025 04:25PM ET,LAR,15.85
4987302785,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),RJ Harvey (41034050),Ashton Jeanty (41034042),Justin Jefferson (41034276),Terry McLaurin (41034316),Michael Wilson (41034298),T.J. Hockenson (41034724),Puka Nacua (41034268),Browns (41034951),,RB,Breece Hall (41034036),Breece Hall,41034036,RB/FLEX,6500,MIA@NYJ 12/07/2025 01:00PM ET,NYJ,14.96
4987302796,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),Bijan Robinson (41034022),Kenneth Walker III (41034052),Jordan Addison (41034322),Deebo Samuel Sr. (41034304),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Raiders (41034969),,WR,Chris Olave (41034280),Chris Olave,41034280,WR/FLEX,6500,NO@TB 12/07/2025 01:00PM ET,NO,15.23
4987302804,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),Aaron Jones Sr. (41034060),Bijan Robinson (41034022),Jordan Addison (41034322),Terry McLaurin (41034316),Michael Wilson (41034298),AJ Barner (41034726),Puka Nacua (41034268),Browns (41034951),,QB,Joe Burrow (41033943),Joe Burrow,41033943,QB,6500,CIN@BUF 12/07/2025 01:00PM ET,CIN,11.7
4987302813,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),Aaron Jones Sr. (41034060),Kenneth Walker III (41034052),Justin Jefferson (41034276),Terry McLaurin (41034316),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Browns (41034951),,RB,Quinshon Judkins (41034038),Quinshon Judkins,41034038,RB/FLEX,6400,TEN@CLE 12/07/2025 01:00PM ET,CLE,13.51
4987302820,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),Ashton Jeanty (41034042),Aaron Jones Sr. (41034060),Justin Jefferson (41034276),Deebo Samuel Sr. (41034304),Michael Wilson (41034298),Evan Engram (41034720),Puka Nacua (41034268),Browns (41034951),,RB,Travis Etienne Jr. (41034040),Travis Etienne Jr.,41034040,RB/FLEX,6300,IND@JAX 12/07/2025 01:00PM ET,JAX,14.55
4987302831,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),RJ Harvey (41034050),Ashton Jeanty (41034042),Justin Jefferson (41034276),Terry McLaurin (41034316),Michael Wilson (41034298),Colby Parkinson (41034730),Puka Nacua (41034268),Broncos (41034949),,WR,Emeka Egbuka (41034282),Emeka Egbuka,41034282,WR/FLEX,6300,NO@TB 12/07/2025 01:00PM ET,TB,14.92
4987302839,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),Aaron Jones Sr. (41034060),Kenneth Walker III (41034052),Justin Jefferson (41034276),Deebo Samuel Sr. (41034304),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Packers (41034957),,QB,Daniel Jones (41033944),Daniel Jones,41033944,QB,6200,IND@JAX 12/07/2025 01:00PM ET,IND,20.14
4987302858,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),RJ Harvey (41034050),Ashton Jeanty (41034042),Jordan Addison (41034322),Deebo Samuel Sr. (41034304),Michael Wilson (41034298),Brock Bowers (41034694),Puka Nacua (41034268),Commanders (41034960),,WR,Tee Higgins (41034284),Tee Higgins,41034284,WR/FLEX,6200,CIN@BUF 12/07/2025 01:00PM ET,CIN,13.14
4987302867,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),Zonovan Knight (41034064),Kenneth Walker III (41034052),Justin Jefferson (41034276),Terry McLaurin (41034316),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Broncos (41034949),,WR,Zay Flowers (41034286),Zay Flowers,41034286,WR/FLEX,6100,PIT@BAL 12/07/2025 01:00PM ET,BAL,12.32
4987302896,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),Ashton Jeanty (41034042),Aaron Jones Sr. (41034060),Justin Jefferson (41034276),Terry McLaurin (41034316),Jaxon Smith-Njigba (41034266),Kyle Pitts Sr. (41034702),RJ Harvey (41034050),Titans (41034959),,QB,Bo Nix (41033945),Bo Nix,41033945,QB,6100,DEN@LV 12/07/2025 04:05PM ET,DEN,19.22
4987302899,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),RJ Harvey (41034050),Ashton Jeanty (41034042),Justin Jefferson (41034276),Deebo Samuel Sr. (41034304),Jaxon Smith-Njigba (41034266),Kyle Pitts Sr. (41034702),Terry McLaurin (41034316),Steelers (41034962),,RB,Ashton Jeanty (41034042),Ashton Jeanty,41034042,RB/FLEX,6100,DEN@LV 12/07/2025 04:05PM ET,LV,15.13
4987302901,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,J.J. McCarthy (41033958),RJ Harvey (41034050),Ashton Jeanty (41034042),Justin Jefferson (41034276),Deebo Samuel Sr. (41034304),Jaxon Smith-Njigba (41034266),Kyle Pitts Sr. (41034702),Darnell Mooney (41034326),Packers (41034957),,RB,Jaylen Warren (41034044),Jaylen Warren,41034044,RB/FLEX,6000,PIT@BAL 12/07/2025 01:00PM ET,PIT,13.34
4986761584,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],185617012,$20 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Kyren Williams (41034034),Darnell Mooney (41034326),Jaxon Smith-Njigba (41034266),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),RJ Harvey (41034050),Saints (41034966),,QB,Jayden Daniels (41033946),Jayden Daniels,41033946,QB,6000,WAS@MIN 12/07/2025 01:00PM ET,WAS,19.26
4987375396,Week 1 NFL by cln2013 #14,185706137,$5 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Kyren Williams (41034034),Darnell Mooney (41034326),Jaxon Smith-Njigba (41034266),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),RJ Harvey (41034050),Saints (41034966),,WR,Mike Evans (41034288),Mike Evans,41034288,WR/FLEX,6000,NO@TB 12/07/2025 01:00PM ET,TB,8.5
4987302561,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),RJ Harvey (41034050),Ashton Jeanty (41034042),Dylan Drummond (41034676),Jaxon Smith-Njigba (41034266),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Raiders (41034969),,TE,Brock Bowers (41034694),Brock Bowers,41034694,TE/FLEX,6000,DEN@LV 12/07/2025 04:05PM ET,LV,16.06
4987302562,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Zonovan Knight (41034064),Pat Bryant (41034388),Jaxon Smith-Njigba (41034266),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Raiders (41034969),,QB,Jordan Love (41033947),Jordan Love,41033947,QB,5900,CHI@GB 12/07/2025 04:25PM ET,GB,17.43
4987302778,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),RJ Harvey (41034050),Ashton Jeanty (41034042),Dylan Drummond (41034676),Jaxon Smith-Njigba (41034266),Michael Wilson (41034298),AJ Barner (41034726),Puka Nacua (41034268),Titans (41034959),,RB,D'Andre Swift (41034046),D'Andre Swift,41034046,RB/FLEX,5900,CHI@GB 12/07/2025 04:25PM ET,CHI,15.37
4987302780,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),De'Von Achane (41034020),Josh Jacobs (41034030),Luther Burden III (41034362),Adonai Mitchell (41034334),Michael Wilson (41034298),Colby Parkinson (41034730),Puka Nacua (41034268),Titans (41034959),,WR,Brian Thomas Jr. (41034290),Brian Thomas Jr.,41034290,WR/FLEX,5900,IND@JAX 12/07/2025 01:00PM ET,JAX,10.04
4987302783,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),RJ Harvey (41034050),Ashton Jeanty (41034042),Justin Jefferson (41034276),Deebo Samuel Sr. (41034304),Michael Wilson (41034298),Colby Parkinson (41034730),Puka Nacua (41034268),Steelers (41034962),,RB,Jordan Mason (41034048),Jordan Mason,41034048,RB/FLEX,5800,WAS@MIN 12/07/2025 01:00PM ET,MIN,8.94
4987302787,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),De'Von Achane (41034020),Kenneth Walker III (41034052),Adonai Mitchell (41034334),Darnell Mooney (41034326),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Raiders (41034969),,QB,Baker Mayfield (41033948),Baker Mayfield,41033948,QB,5800,NO@TB 12/07/2025 01:00PM ET,TB,17.36
4987302790,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),RJ Harvey (41034050),Ashton Jeanty (41034042),Puka Nacua (41034268),Jaxon Smith-Njigba (41034266),Michael Wilson (41034298),AJ Barner (41034726),David Sills V (41034364),Raiders (41034969),,WR,Marvin Harrison Jr. (41034292),Marvin Harrison Jr.,41034292,WR/FLEX,5800,LAR@ARI 12/07/2025 04:25PM ET,ARI,12.54
4987302791,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),De'Von Achane (41034020),Josh Jacobs (41034030),Luther Burden III (41034362),Adonai Mitchell (41034334),Michael Wilson (41034298),Colston Loveland (41034728),Puka Nacua (41034268),Commanders (41034960),,WR,Rome Odunze (41034294),Rome Odunze,41034294,WR/FLEX,5700,CHI@GB 12/07/2025 04:25PM ET,CHI,12.68
4987302794,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Kenneth Walker III (41034052),Puka Nacua (41034268),Tre Tucker (41034330),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),RJ Harvey (41034050),Browns (41034951),,WR,Jakobi Meyers (41034296),Jakobi Meyers,41034296,WR/FLEX,5700,IND@JAX 12/07/2025 01:00PM ET,JAX,11.18
4987302795,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Josh Jacobs (41034030),Bijan Robinson (41034022),Luther Burden III (41034362),Cooper Kupp (41034350),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Steelers (41034962),,RB,RJ Harvey (41034050),RJ Harvey,41034050,RB/FLEX,5700,DEN@LV 12/07/2025 04:05PM ET,DEN,10.76
4987302797,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Aaron Jones Sr. (41034060),Kenneth Walker III (41034052),Justin Jefferson (41034276),Terry McLaurin (41034316),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Commanders (41034960),,QB,Jacoby Brissett (41033949),Jacoby Brissett,41033949,QB,5700,LAR@ARI 12/07/2025 04:25PM ET,ARI,18.24
4987302798,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),De'Von Achane (41034020),Breece Hall (41034036),Adonai Mitchell (41034334),Darnell Mooney (41034326),Michael Wilson (41034298),AJ Barner (41034726),Puka Nacua (41034268),Raiders (41034969),,RB,Kenneth Walker III (41034052),Kenneth Walker III,41034052,RB/FLEX,5600,SEA@ATL 12/07/2025 01:00PM ET,SEA,11.48
4987302802,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Bijan Robinson (41034022),Pat Bryant (41034388),Puka Nacua (41034268),Michael Wilson (41034298),AJ Barner (41034726),RJ Harvey (41034050),Packers (41034957),,QB,Caleb Williams (41033950),Caleb Williams,41033950,QB,5600,CHI@GB 12/07/2025 04:25PM ET,CHI,19.14
4987302803,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),RJ Harvey (41034050),Ashton Jeanty (41034042),Jordan Addison (41034322),Terry McLaurin (41034316),Michael Wilson (41034298),Brock Bowers (41034694),Puka Nacua (41034268),Raiders (41034969),,WR,Courtland Sutton (41034300),Courtland Sutton,41034300,WR/FLEX,5600,DEN@LV 12/07/2025 04:05PM ET,DEN,13.01
4987302812,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Kenneth Walker III (41034052),Puka Nacua (41034268),Courtland Sutton (41034300),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),RJ Harvey (41034050),Commanders (41034960),,WR,Michael Wilson (41034298),Michael Wilson,41034298,WR/FLEX,5600,LAR@ARI 12/07/2025 04:25PM ET,ARI,9.92
4987302815,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Bijan Robinson (41034022),Pat Bryant (41034388),Puka Nacua (41034268),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Kenneth Walker III (41034052),Raiders (41034969),,QB,Sam Darnold (41033951),Sam Darnold,41033951,QB,5500,SEA@ATL 12/07/2025 01:00PM ET,SEA,15.7
4987302818,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Bijan Robinson (41034022),Pat Bryant (41034388),Cooper Kupp (41034350),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Browns (41034951),,WR,Deebo Samuel Sr. (41034304),Deebo Samuel Sr.,41034304,WR/FLEX,5500,WAS@MIN 12/07/2025 01:00PM ET,WAS,13.84
4987302819,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Josh Jacobs (41034030),Ashton Jeanty (41034042),Pat Bryant (41034388),Luther Burden III (41034362),Michael Wilson (41034298),Brock Bowers (41034694),Puka Nacua (41034268),Browns (41034951),,RB,Alvin Kamara (41034054),Alvin Kamara,41034054,RB/FLEX,5500,NO@TB 12/07/2025 01:00PM ET,NO,9.34
4987302821,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),De'Von Achane (41034020),Ashton Jeanty (41034042),Pat Bryant (41034388),Puka Nacua (41034268),Michael Wilson (41034298),Colby Parkinson (41034730),Breece Hall (41034036),Raiders (41034969),,WR,Troy Franklin (41034302),Troy Franklin,41034302,WR/FLEX,5500,DEN@LV 12/07/2025 04:05PM ET,DEN,11.41
4987302824,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),RJ Harvey (41034050),Ashton Jeanty (41034042),Justin Jefferson (41034276),Terry McLaurin (41034316),Michael Wilson (41034298),T.J. Hockenson (41034724),Puka Nacua (41034268),Commanders (41034960),,WR,DK Metcalf (41034308),DK Metcalf,41034308,WR/FLEX,5400,PIT@BAL 12/07/2025 01:00PM ET,PIT,12.14
4987302825,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Ashton Jeanty (41034042),Bijan Robinson (41034022),Pat Bryant (41034388),Darnell Mooney (41034326),Michael Wilson (41034298),AJ Barner (41034726),Puka Nacua (41034268),Browns (41034951),,RB,Kyle Monangai (41034056),Kyle Monangai,41034056,RB/FLEX,5400,CHI@GB 12/07/2025 04:25PM ET,CHI,9.57
4987302828,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),Josh Jacobs (41034030),Bijan Robinson (41034022),Luther Burden III (41034362),Darnell Mooney (41034326),Michael Wilson (41034298),AJ Barner (41034726),Puka Nacua (41034268),Titans (41034959),,QB,Trevor Lawrence (41033952),Trevor Lawrence,41033952,QB,5400,IND@JAX 12/07/2025 01:00PM ET,JAX,17.58
4987302829,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Jacoby Brissett (41033949),RJ Harvey (41034050),Ashton Jeanty (41034042),Ja'Marr Chase (41034270),Puka Nacua (41034268),Michael Wilson (41034298),Dawson Knox (41034742),Zonovan Knight (41034064),Raiders (41034969),,WR,Michael Pittman Jr. (41034306),Michael Pittman Jr.,41034306,WR/FLEX,5400,IND@JAX 12/07/2025 01:00PM ET,IND,14.08
